	Completeness	Name	Class	Definition
M00777	0.2727272727272727	Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b	Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis	K14371+K24567+K24568+K24569 K14372 K14373 K14374 K14375 K14372 aveE; cytochrome P450 hydroxylase
M00887	0.2727272727272727	Mycolic acid biosynthesis, meromycolic acid + alpha-carboxyacyl-CoA + trehalose => TMM => TDM/mAGP/GMM	Pathway modules; Lipid metabolism; Fatty acid metabolism	K11263+K27093+K27094+K27095 K12428 K12437 K27306 K18851 K12428 fadD32; fatty acyl-AMP ligase FadD32
M00539	0.2727272727272727	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K10619+K16303+K16304+K18227 K10620 K10621 K10622 K10623 K10620 cmtB; 2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase
M00146	0.25	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Pathway modules; Energy metabolism; ATP synthesis	K03945+K03946+K03947+K03948+K03949+K03950+K03951+K03952+K03953+K03954+K03955+K03956+K11352+K11353 K03946 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 2 K03947 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 3 K03948 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4 K03949 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 5 K03950 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 6 K03951 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 7 K03952 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 8 K03953 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 9 K03954 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10 K03955 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1 K03956 NADH-ubiquinone oxidoreductase subunit K11352 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 12 K11353 NADH dehydrogenase (ubiquinone)
M00029	0.25	Urea cycle	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K01948 K00611 K01940 (K01755,K14681) K01476 K00611 ornithine carbamoyltransferase
M00534	0.25	Naphthalene degradation, naphthalene => salicylate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K14579+K14580+K14578+K14581 K14582 K14583 K14584 K14585 K00152 K14582 nahB; cis-1,2-dihydro-1,2-dihydroxynaphthalene/dibenzothiophene dihydrodiol dehydrogenase
M00308	0.25	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K05308 K00874 K01625 (K00134 K00927,K00131,K18978) K00874 2-dehydro-3-deoxygluconokinase
M00921	0.25	Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	K13787 K18686 K22997 K22998 K18686 cotB2; cyclooctat-9-en-7-ol synthase
M00950	0.25	Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00652 K25570 K01935 K01012 K25570 bioU; 8-amino-7-oxononanoate carboxylating dehydrogenase
M00940	0.25	Flavanone biosynthesis, p-coumaroyl-CoA => liquiritigenin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	K00660+K08243 K01859 K01859 chalcone isomerase
M00849	0.25	C5 isoprenoid biosynthesis, mevalonate pathway, archaea	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K00626 K01641 (K00021,K00054) ((K00869 (K17942,(K25517+K09128 K25518+K03186))),(K18689 K18690 K22813)) K06981 K01823 K01641 hydroxymethylglutaryl-CoA synthase
M00776	0.25	Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin	Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis	K16000+K16001+K16002-K16003 K16004 K16005 K16006 K16001 pikAII; narbonolide/10-deoxymethynolide synthase
M00639	0.25	Multidrug resistance, efflux pump MexCD-OprJ	Signature modules; Gene set; Drug resistance AUTHORS   Poole K, Gotoh N, Tsujimoto H, Zhao Q, Wada A, Yamasaki T, Neshat S, Yamagishi J, Li XZ, Nishino T TITLE     Overexpression of the mexC-mexD-oprJ efflux operon in nfxB-type multidrug-resistant strains of Pseudomonas aeruginosa. JOURNAL   Mol Microbiol 21:713-24 (1996) DOI:10.1046/j.1365-2958.1996.281397.x AUTHORS   Depardieu F, Podglajen I, Leclercq R, Collatz E, Courvalin P TITLE     Modes and modulations of antibiotic resistance gene expression. JOURNAL   Clin Microbiol Rev 20:79-114 (2007) DOI:10.1128/CMR.00015-06 AUTHORS   Stickland HG, Davenport PW, Lilley KS, Griffin JL, Welch M TITLE     Mutation of nfxB causes global changes in the physiology and metabolism of Pseudomonas aeruginosa. JOURNAL   J Proteome Res 9:2957-67 (2010) DOI:10.1021/pr9011415	K18294 K18295+K18296-K08721 K18295
M00642	0.25	Multidrug resistance, efflux pump MexJK-OprM	Signature modules; Gene set; Drug resistance AUTHORS   Chuanchuen R, Narasaki CT, Schweizer HP TITLE     The MexJK efflux pump of Pseudomonas aeruginosa requires OprM for antibiotic efflux but not for efflux of triclosan. JOURNAL   J Bacteriol 184:5036-44 (2002) DOI:10.1128/JB.184.18.5036-5044.2002 AUTHORS   Depardieu F, Podglajen I, Leclercq R, Collatz E, Courvalin P TITLE     Modes and modulations of antibiotic resistance gene expression. JOURNAL   Clin Microbiol Rev 20:79-114 (2007) DOI:10.1128/CMR.00015-06	K18301 K18302+K18303-K18139 K18302
M00641	0.25	Multidrug resistance, efflux pump MexEF-OprN	Signature modules; Gene set; Drug resistance AUTHORS   Tian ZX, Mac Aogain M, O'Connor HF, Fargier E, Mooij MJ, Adams C, Wang YP, O'Gara F TITLE     MexT modulates virulence determinants in Pseudomonas aeruginosa independent of the MexEF-OprN efflux pump. JOURNAL   Microb Pathog 47:237-41 (2009) DOI:10.1016/j.micpath.2009.08.003 AUTHORS   Depardieu F, Podglajen I, Leclercq R, Collatz E, Courvalin P TITLE     Modes and modulations of antibiotic resistance gene expression. JOURNAL   Clin Microbiol Rev 20:79-114 (2007) DOI:10.1128/CMR.00015-06	K18297 K18298+K18299-K18300 K18298
