	Completeness	Name	Class	Definition
M00307	1.0	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737 K00169,K00170,K00171,K00172,K00189,K03737 pyruvate:ferredoxin oxidoreductase
M00173	1.0	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules; Energy metabolism; Carbon fixation	(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242,K18556+K18557+K18558+K18559+K18560) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K01681,K27802,K01682) (K15230+K15231,K15232+K15233 K15234) K03737 pyruvate-ferredoxin/flavodoxin oxidoreductase
M01000	1.0	GDP-Man biosynthesis, Fru-6P => GDP-Man	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	(K01809,K15916,K16011) (K17497,K01840,K15778,K16881) (K00966,K00971,K16011,K16881) K16011 mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase
M00986	1.0	Sulfur reduction, sulfur => sulfide	Pathway modules; Energy metabolism; Sulfur metabolism	K18367,(K17219+K17220+K17221) K17219 sreA; sulfur reductase molybdopterin subunit
M00872	1.0	O-glycan biosynthesis, mannose type (core M3)	Pathway modules; Glycan metabolism; Glycan biosynthesis	K00728 K18207 K09654 K17547 K21031 K19872 K19873 K21052 K21032 K09668 K18207 POMGNT2; protein O-mannose beta-1,4-N-acetylglucosaminyltransferase
M00873	1.0	Fatty acid biosynthesis in mitochondria, animals	Pathway modules; Lipid metabolism; Fatty acid metabolism	K18660 K03955+K00645 K09458 K11539+K13370 K22540 K07512 K03955 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein K00645 [acyl-carrier-protein] S-malonyltransferase
M00874	1.0	Fatty acid biosynthesis in mitochondria, fungi	Pathway modules; Lipid metabolism; Fatty acid metabolism	K11262 K03955+K00645 K09458 K00059 K22541 K07512 K03955 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein K00645 [acyl-carrier-protein] S-malonyltransferase
M00880	1.0	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	((K03639 K03637),K20967) (K03635,K21142) (((K03831,K03638) K03750),K15376) K03637 cyclic pyranopterin monophosphate synthase
M00854	1.0	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	(K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812)) (K00700,K16149) K00693,K00750,K16150,K16153 glycogen synthase
M00862	1.0	beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA	Pathway modules; Lipid metabolism; Sterol biosynthesis	K10214 K12405 K08764 K12405 (3R)-3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase
M00909	1.0	UDP-GlcNAc biosynthesis, prokaryotes, Fru-6P => UDP-GlcNAc	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K00820 (K03431,K28126) (K04042,K23144,(K28192 (K11528,K00972))) K03431,K28126 phosphoglucosamine mutase
M00896	1.0	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K22699 K03147 (K00941 (K00788,K21220),K21219) K00946 K03147 thiC; phosphomethylpyrimidine synthase
M00621	1.0	Glycine cleavage system	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	(K00281,K00282+K00283) K00605 K00382 K00605 aminomethyltransferase (T protein)
M00622	1.0	Nicotinate degradation, nicotinate => fumarate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K18029+K18030 K14974 K18028 K15357 K13995 K01799 K14974 6-hydroxynicotinate 3-monooxygenase
M00617	1.0	Methanogen	Signature modules; Module set; Metabolic capacity	M00567,M00357,M00356,M00563 K00205,K11260,K00204 4Fe-4S ferredoxin K00672
M00624	1.0	Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K18074+K18075+K18077 K18076 K18076 1,2-dihydroxy-3,5-cyclohexadiene-1,4-dicarboxylate dehydrogenase
M00544	1.0	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K15751-K15752-K15753 K15754+K15755 K15756 K15754+K15755 2'-aminobiphenyl-2,3-diol 1,2-dioxygenase
M00551	1.0	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K05549+K05550+K05784 K05783 K05783 1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
M00580	1.0	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	(K08094 (K08093,K13812),K13831) K01807 K08093,K13812,K13831 3-hexulose-6-phosphate synthase
M00554	1.0	UDP-Gal biosynthesis, Gal => UDP-Gal	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K00849 K00965 K00965 UDPglucose--hexose-1-phosphate uridylyltransferase
M00911	1.0	Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01497 K14654 K14655 -- K02858 K00794 K00793 K00861 K00953 K14654 2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
M00968	1.0	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	(((K00757,K26211,K26212) (K21056,K26208)),K18931) K18237 (K01601,(K26210 K01636)) K26211,K26212 guanosine phosphorylase
M00916	1.0	Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K06215+K08681 K08681 pdxT; pyridoxal 5'-phosphate synthase pdxT subunit
M00914	0.875	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00606 K00077 K06982 K09722 K13038 K02201 K09735 K00077 2-dehydropantoate 2-reductase
M00048	0.8333333333333334	De novo purine biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787,K01492) (K01952,(K23269+K23264+K23265),(K23270+K23265)) (K01933,K11787,K11788 (K01587,K11808,K01589 K01588)) (K01923,K01587,K13713) K01756 (K00602,(K01492,K06863 K11176)) K01945,K11787,K11788 phosphoribosylamine--glycine ligase
M00159	0.7575757575757576	V/A-type ATPase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02117+K02118+K02119+K02120+K02121+K02122+K02107+K02123+K02124 K02118 ATPVB; V/A-type H+-transporting ATPase subunit B K02119 ATPVC; V/A-type H+-transporting ATPase subunit C K02120 ATPVD; V/A-type H+-transporting ATPase subunit D K02121 ATPVE; V/A-type H+-transporting ATPase subunit E K02122 ATPVF; V/A-type H+-transporting ATPase subunit F K02107 ATPVG; V/A-type H+-transporting ATPase subunit G/H K02123 ATPVI; V/A-type H+-transporting ATPase subunit I K02124
M00125	0.75	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	(K01497,K14652) (K01498 K00082,K11752) (K22912,K20860,K20861,K20862,K21063,K21064) (K02858,K14652) K00794 K00793 (K20884 K22949,K11753) K01498,K11752 diaminohydroxyphosphoribosylaminopyrimidine deaminase
M00050	0.75	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00088 K01951 K00942 (K00940,K18533) K01951 GMP synthase
M00632	0.75	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01785 K00849 K00965 K01784 K00849 galactokinase
M00855	0.6666666666666666	Glycogen degradation, glycogen => glucose-6P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	(K00688,K16153) (K01196,((K00705,K22451) (K02438,K01200))) (K15779,K01835,K15778) K01196 glycogen debranching enzyme
M00020	0.6666666666666666	Serine biosynthesis, glycerate-3P => serine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00058 K00831 (K01079,K02203,K22305,K25528) K00831 phosphoserine aminotransferase
M00763	0.6666666666666666	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K05826 K19412 K05828 K05829 K05830 K05831 K19412 glutamate--LysW ligase ArgX
M00365	0.6666666666666666	C10-C20 isoprenoid biosynthesis, archaea	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K01823 K13787 K13787 DMPP -> GPP -> FPP -> GGPP
M00565	0.6666666666666666	Trehalose biosynthesis, D-glucose 1P => trehalose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00975 K00703 (K00700,K16149) K01214 K06044 K01236 K00703 starch synthase
M00127	0.625	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03148+K03154 K03151 K03150 K03149 K03147 ((K00941 K00788),K14153,K21219) K00946 K03154 thiS; sulfur carrier protein K03151 thiI; tRNA uracil 4-sulfurtransferase
M00144	0.5714285714285714	NADH:quinone oxidoreductase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	K00330+(K00331+K00332+K00333,K00331+K13378,K13380)+K00334+K00335+K00336+K00337+K00338+K00339+K00340+(K00341+K00342)+K00343 K00331 nuoB; NADH-quinone oxidoreductase subunit B
M00031	0.5714285714285714	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K05826 K05827 K05828 K05829 K05830 K05831 K05827 [lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase
M00843	0.5	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01495 K01737 K17745 K01737 6-pyruvoyltetrahydropterin
M00364	0.5	C10-C20 isoprenoid biosynthesis, bacteria	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K01823 (K00795,K13789,K13787) K00795 DMPP -> GPP -> FPP
M00368	0.5	Ethylene biosynthesis, methionine => ethylene	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00789 (K01762,K20772) K05933 K20772,K01762 1-aminocyclopropane-1-carboxylate synthase
M00842	0.5	Tetrahydrobiopterin biosynthesis, GTP => BH4	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01495 K01737 K00072 K01737 6-pyruvoyltetrahydropterin synthase
M00912	0.5	NAD biosynthesis, tryptophan => quinolinate => NAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	(K00453,K00463) (K01432,K14263,K07130) K00486 K01556 K00452 K00767 (K00969,K06210) (K01916,K01950) K00463 indoleamine 2,3-dioxygenase
M00123	0.5	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00652 ((K00833,K19563) K01935,K19562) K01012 K00833 bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase
M00345	0.5	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules; Energy metabolism; Methane metabolism	(((K08093,K13812) K08094),K13831) (K00850,K16370,K21071) K01624 K08094,K13831 6-phospho-3-hexuloisomerase
M00098	0.5	Acylglycerol degradation	Pathway modules; Lipid metabolism; Lipid metabolism	(K01046,K12298,K16816,K13534,K14073,K14074,K14075,K14076,K22283,K14452,K22284,K14674,K14675,K17900) (K01054,K25824) K01054 acylglycerol lipase
M00055	0.5	N-glycan precursor biosynthesis	Pathway modules; Glycan metabolism; Glycan biosynthesis	K01001 (K07432+K07441) K03842 K03843 K03844 K03845 K03846 K03847 K03846 K00729 K03848 K03849 K03850 K07432+K07441 ALG13+ALG14
M00053	0.5	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	Pathway modules; Nucleotide metabolism; Purine metabolism	(K00525+K00526,K10807+K10808) (K00940,K18533) K00940,K18533 nucleoside-diphosphate kinase
M00035	0.5	Methionine degradation	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00789 (K00552,K00558,K17398,K17399) K01251 (K01697,K10150) K00552 glycine N-methyltransferase
M00140	0.5	C1-unit interconversion, prokaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00600 (K01491,(K00300 K01500)) K01938 K01491 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase
M00141	0.5	C1-unit interconversion, eukaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00600 (K00288,(K13403 K13402)) K00288 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase
M00038	0.5	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	(K00453,K00463) (K01432,K14263,K07130) K00486 K01556 K00452 K03392 (K10217,K23234) K00463 indoleamine 2,3-dioxygenase
M00959	0.5	Guanine ribonucleotide degradation, GMP => Urate	Pathway modules; Nucleotide metabolism; Purine metabolism	(K01081,K19970,K11751,K03787,K02566,K08693,K20881) (K03783,K03784,K09913,K05810) K01487 (K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483) K20881 GMP 5'-nucleotidase
M00899	0.5	Thiamine salvage pathway, HMP/HET => TMP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00878 ((K00941 K00788),K14153,K21219) K00941 thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
M00913	0.5	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00606 K00077 K13367 K00128 K01918 K00077 2-dehydropantoate 2-reductase
M00938	0.5	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	(K00525+K00526,K10807+K10808) (K00940,K18533) K01520 (K00560,K13998,K03465) K00943 K00940,K18533 nucleoside-diphosphate kinase
M01004	0.5	UDP-Galf biosynthesis, UDP-Glc => UDP-Galf	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K01784 (K01854,K28214) K01854,K28214 UDP-galactopyranose mutase
M00145	0.47619047619047616	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	Pathway modules; Energy metabolism; ATP synthesis	K05574+K05582+K05581+K05579+K05572+K05580+K05578+K05576+K05577+K05575+K05573-K05583-K05584-K05585 K05582 ndhK; NAD(P)H-quinone oxidoreductase subunit K
M00162	0.4666666666666667	Cytochrome b6f complex	Pathway modules; Energy metabolism; ATP synthesis	K02635+K02637+K02634+K02636+K02642+K02643+K03689+K02640 K02637 petD; cytochrome b6-f complex subunit 4 K02634 petA; apocytochrome f K02636 petC; cytochrome b6-f complex iron-sulfur subunit
M00548	0.45454545454545453	Benzene degradation, benzene => catechol	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K16249+K16243+K16244+K16242+K16245+K16246 K16243 dmpL; phenol 2-monooxygenase (NADH) P1/A1
M00895	0.45454545454545453	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03148+K03154 K03151 K03153 K03149 K10810 K03147 K00941 K00788 K00946 K03154 thiS; sulfur carrier protein K03151 thiI; tRNA uracil 4-sulfurtransferase
M00161	0.45454545454545453	Photosystem II	Pathway modules; Energy metabolism; Photosynthesis	K02703+K02706+K02705+K02704+K02707+K02708 K02706 psbD; photosystem II reaction center D2 protein
M00163	0.45454545454545453	Photosystem I	Pathway modules; Energy metabolism; Photosynthesis	K02689+K02690+K02691+K02692+K02693+K02694 K02690 psaB; photosystem I P700 chlorophyll a apoprotein A2
M00158	0.4482758620689655	F-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02132+K02133+K02136+K02134+K02135+K02137+K02126+K02127+K02128+K02138+(K02129,K01549)+(K02130,K02139)+K02140+(K02141,K02131)-K02142-K02143+K02125 K02133 ATPeF1B; F-type H+-transporting ATPase subunit beta
M00824	0.4375	9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core	Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis	K15314 K21160+K21161+K21162+K21163+K21164+K21165+K21166+K21167 K21160
M00638	0.42857142857142855	Salicylate degradation, salicylate => gentisate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K18242+K18243+K14578+K14581
M00616	0.42857142857142855	Sulfate-sulfur assimilation	Signature modules; Module set; Metabolic capacity	(K02048,K23163)+K02046+K02047+K02045 M00176 K02046
M00417	0.42857142857142855	Cytochrome o ubiquinol oxidase	Pathway modules; Energy metabolism; ATP synthesis	K02297+K02298+K02299+K02300 K02298 cyoB; cytochrome o ubiquinol oxidase subunit I
M00598	0.42857142857142855	Anoxygenic photosystem I	Pathway modules; Energy metabolism; Photosynthesis	K08940+K08941+K08942+K08943 K08941
M00825	0.42857142857142855	10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core	Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis	K15314 K21168+K21169+K21170+K21171+K21172+K21173+K21174 K21168
M00143	0.42857142857142855	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	Pathway modules; Energy metabolism; ATP synthesis	K03934+K03935+K03936+K03937+K03938+K03939+K03940+K03941+K03942+K03943-K03944 K03935 NDUFS2; NADH dehydrogenase (ubiquinone) Fe-S protein 2
M00150	0.42857142857142855	Fumarate reductase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	K00244+K00245+K00246+K00247 K00245 frdB; fumarate reductase iron-sulfur subunit
M00142	0.42857142857142855	NADH:ubiquinone oxidoreductase, mitochondria	Pathway modules; Energy metabolism; ATP synthesis	K03878+K03879+K03880+K03881+K03882+K03883+K03884 K03879 ND2; NADH-ubiquinone oxidoreductase chain 2
M00416	0.42857142857142855	Cytochrome aa3-600 menaquinol oxidase	Pathway modules; Energy metabolism; ATP synthesis	K02827+K02826+K02828+K02829 K02826 qoxA; cytochrome aa3-600 menaquinol oxidase subunit II
M00157	0.4117647058823529	F-type ATPase, prokaryotes and chloroplasts	Pathway modules; Energy metabolism; ATP synthesis	K02111+K02112+K02113+K02114+K02115+K02108+K02109+K02110 K02112 ATPF1B; F-type H+-transporting ATPase subunit beta
M00153	0.4	Cytochrome bd ubiquinol oxidase	Pathway modules; Energy metabolism; ATP synthesis	K00425+K00426+(K00424,K22501) K00426 cytochrome bd ubiquinol oxidase subunit II
M00119	0.4	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00826 K00606 K00077 K01579 (K01918,K13799) K00606 3-methyl-2-oxobutanoate hydroxymethyltransferase
M00595	0.4	Sulfur oxidation, SOX system, thiosulfate => sulfate	Pathway modules; Energy metabolism; Sulfur metabolism	K17222+K17223+K17224-K17225-K22622+K17226+K17227 K17223 soxX; sulfur-oxidizing protein SoxX K17224 soxB; sulfur-oxidizing protein SoxB K17225 soxC; S-disulfanyl-L-cysteine oxidoreductase SoxC
M00095	0.4	C5 isoprenoid biosynthesis, mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K00626 K01641 K00021 K00869 (K00938,K13273) K01597 K01823 K01641 hydroxymethylglutaryl-CoA synthase
M01002	0.4	UDP-GalNAc biosynthesis, Fru-6P => UDP-GalNAc	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K00820 K28125 K28126 K23144 K28125 D-glucosamine-6-phosphate 4-epimerase
M00995	0.4	UDP-MurNAc biosynthesis, Fru-6P => UDP-MurNAc	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K00820 K03431 K04042 K00790 K00075 K03431 glmM; phosphoglucosamine mutase
M00532	0.375	Photorespiration	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	(K01601-K01602) K19269 K11517 K03781 (K14272,K00830,K00827) K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437 K19269 phosphoglycolate phosphatase
M00547	0.375	Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K03268+K16268+K18089+K18090 K16269 K16269 cis-1,2-dihydrobenzene-1,2-diol dehydrogenase
M00886	0.375	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)	Pathway modules; Lipid metabolism; Fatty acid metabolism	K02078 K11263+K18472 K00645 K11608 K11609+K11610+K27071+K27072+K11611 K27070+K11610+K27072+(K27073,K27074)+K11611 K11263 accA3; acetyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein
M00978	0.375	Ornithine-ammonia cycle	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K01915 K01955+K01956 K00611 K01940 K01755 (K27542,K27545) K01955,K01956 carbamoyl-phosphate synthase
M00422	0.375	Acetyl-CoA pathway, CO2 => acetyl-CoA	Pathway modules; Energy metabolism; Methane metabolism	K00192+K00195 K00193+K00197+K00194 K00195 cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
M00356	0.36363636363636365	Methanogenesis, methanol => methane	Pathway modules; Energy metabolism; Methane metabolism	K14080+K04480+K14081 K00399+K00401+K00402 (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125)) K04480 methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase
M00346	0.36363636363636365	Formaldehyde assimilation, serine pathway	Pathway modules; Energy metabolism; Methane metabolism	K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691 K00830 serine--glyoxylate transaminase
M00660	0.35714285714285715	Xanthomonas spp. pathogenicity signature, T3SS and effectors	Signature modules; Gene set; Plant pathogenicity AUTHORS   Buttner D, He SY TITLE     Type III protein secretion in plant pathogenic bacteria. JOURNAL   Plant Physiol 150:1656-64 (2009) DOI:10.1104/pp.109.139089	K03222+K03226+K03227+K03228+K03229+K03230+K03224+K03225+K03223+K18374+K18376 K18373 K18375 K18377 K18378 K18379 K18380 K18381 K03226 yscR; type III secretion protein SctR K03227 yscS; type III secretion protein SctS K03228 yscT; type III secretion protein SctT K03229 yscU; type III secretion protein SctU K03230 yscV; type III secretion protein SctV K03224 yscN; ATP synthase in type III secretion protein SctN
M00542	0.34615384615384615	EHEC/EPEC pathogenicity signature, T3SS and effectors	Signature modules; Gene set; Pathogenicity	K03221+K03219+K03222+K03226+K03227+K03228+K03229+K03230+K03224+K03225 K12784 K12787 K12785 K12786 K12788 K16041 K16042 K03219 yscC; type III secretion protein SctC K03222 yscJ; type III secretion protein SctJ K03226 yscR; type III secretion protein SctR K03227 yscS; type III secretion protein SctS K03228 yscT; type III secretion protein SctT K03229 yscU; type III secretion protein SctU K03230 yscV; type III secretion protein SctV K03224 yscN; ATP synthase in type III secretion protein SctN
M00778	0.3333333333333333	Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide	Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis	K05551+K05552+K05553 -K12420 ((K05554,K14249,K15884,K15885) (K05555,K14250),K15886) K05552 actI2, oxyB, tcmL, snoa2, mtmK; minimal PKS chain-length factor (CLF/KS beta)
M00985	0.3333333333333333	Sulfide oxidation, sulfide => sulfur	Pathway modules; Energy metabolism; Sulfur metabolism	K17229+K17230 K17230 fccA; cytochrome subunit of sulfide dehydrogenase
M00844	0.3333333333333333	Arginine biosynthesis, ornithine => arginine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00611 K01940 (K01755,K14681) K01940 argininosuccinate synthase
M00698	0.3333333333333333	Multidrug resistance, efflux pump BpeEF-OprC	Signature modules; Gene set; Drug resistance AUTHORS   Kumar A, Chua KL, Schweizer HP TITLE     Method for regulated expression of single-copy efflux pump genes in a surrogate Pseudomonas aeruginosa strain: identification of the BpeEF-OprC chloramphenicol and trimethoprim efflux pump of Burkholderia pseudomallei 1026b. JOURNAL   Antimicrob Agents Chemother 50:3460-3 (2006) DOI:10.1128/AAC.00440-06 AUTHORS   Schweizer HP TITLE     Mechanisms of antibiotic resistance in Burkholderia pseudomallei: implications for treatment of melioidosis. JOURNAL   Future Microbiol 7:1389-99 (2012) DOI:10.2217/fmb.12.116 AUTHORS   Fernandez L, Hancock RE TITLE     Adaptive and mutational resistance: role of porins and efflux pumps in drug resistance. JOURNAL   Clin Microbiol Rev 25:661-81 (2012) DOI:10.1128/CMR.00043-12 AUTHORS   Coyne S, Rosenfeld N, Lambert T, Courvalin P, Perichon B TITLE     Overexpression of resistance-nodulation-cell division pump AdeFGH confers multidrug resistance in Acinetobacter baumannii. JOURNAL   Antimicrob Agents Chemother 54:4389-93 (2010) DOI:10.1128/AAC.00155-10	K18900 K18901+K18902+K18903 K18901
M00627	0.3333333333333333	beta-Lactam resistance, Bla system	Signature modules; Gene set; Drug resistance	K02172 K02171 (K18766,K17836) K02171 blaI; BlaI family transcriptional regulator, penicillinase repressor K18766 blaZ; beta-lactamase class A BlaZ
M00696	0.3333333333333333	Multidrug resistance, efflux pump AcrEF-TolC	Signature modules; Gene set; Drug resistance AUTHORS   Kobayashi K, Tsukagoshi N, Aono R TITLE     Suppression of hypersensitivity of Escherichia coli acrB mutant to organic solvents by integrational activation of the acrEF operon with the IS1 or IS2 element. JOURNAL   J Bacteriol 183:2646-53 (2001) DOI:10.1128/JB.183.8.2646-2653.2001 AUTHORS   Fernandez L, Hancock RE TITLE     Adaptive and mutational resistance: role of porins and efflux pumps in drug resistance. JOURNAL   Clin Microbiol Rev 25:661-81 (2012) DOI:10.1128/CMR.00043-12 AUTHORS   Poole K TITLE     Efflux-mediated multiresistance in Gram-negative bacteria. JOURNAL   Clin Microbiol Infect 10:12-26 (2004) DOI:10.1111/j.1469-0691.2004.00763.x	K18140 K18141+K18142+K12340 K18141
M00577	0.3333333333333333	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01906 K00652 (K00833,K19563) K01935 K01012 K00652 bioF; 8-amino-7-oxononanoate synthase
