Module_ID,Name,Definition,Class,Pathway
md:M00004,Pentose phosphate pathway (Pentose phosphate cycle),"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 ((K00616 (K01810,K06859,K15916)),K13810)",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,map00030  Pentose phosphate pathway
md:M00309,"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate","K05308 (K11395,K18127) (K18020+K18021+K18022,K18128,K03738)",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,map00030  Pentose phosphate pathway
md:M00114,"Ascorbate biosynthesis, plants, fructose-6P => ascorbate",K01809 K17497 K00966 K10046 K14190 K10047 K17744 K00225,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,map00051  Fructose and mannose metabolism
md:M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,map00020  Citrate cycle (TCA cycle)
md:M00176,"Assimilatory sulfate reduction, sulfate => H2S","(K00958+K00860,K00955+K00957,K00956+K00957+K00860) K00390 (K00380+K00381,K00392)",Pathway modules; Energy metabolism; Sulfur metabolism,map00920  Sulfur metabolism
md:M00989,"Ubiquinone biosynthesis, O2-independent, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol","(K03181,K18240) K03179 K03182+K03186 K24844+K24845+K24843 K00568 K03183",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00130  Ubiquinone and other terpenoid-quinone biosynthesis
md:M00009,"Citrate cycle (TCA cycle, Krebs cycle)","(K01647,K05942,K01659) (K01681,K27802,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,map00020  Citrate cycle (TCA cycle)
md:M00596,"Dissimilatory sulfate reduction, sulfate => H2S",K00958 (K00394+K00395) (K11180+K11181-K27196) (K27187+K27188+K27189+K27190+K27191),Pathway modules; Energy metabolism; Sulfur metabolism,map00920  Sulfur metabolism
md:M00038,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate","(K00453,K00463) (K01432,K14263,K07130) K00486 K01556 K00452 K03392 (K10217,K23234)",Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,map00380  Tryptophan metabolism
md:M00117,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol","(K03181,K18240) K03179 K03182+K03186 K18800 K00568 K03185 K03183 (K03184,K06134)",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00130  Ubiquinone and other terpenoid-quinone biosynthesis
md:M00055,N-glycan precursor biosynthesis,K01001 (K07432+K07441) K03842 K03843 K03844 K03845 K03846 K03847 K03846 K00729 K03848 K03849 K03850,Pathway modules; Glycan metabolism; Glycan biosynthesis,map00510  N-Glycan biosynthesis
md:M00017,"Methionine biosynthesis, aspartate => homoserine => methionine","(K00928,K12524,K12525) K00133 (K00003,K12524,K12525) (K00651,K00641) K01739 (K01760,K14155) (K00548,K24042,K00549)",Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,map00270  Cysteine and methionine metabolism
md:M00023,"Tryptophan biosynthesis, chorismate => tryptophan","(((K01657+K01658,K13503,K13501,K01656) K00766),K13497) (((K01817,K24017) (K01656,K01609)),K13498,K13501) (K01695+(K01696,K06001),K01694)",Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,"map00400  Phenylalanine, tyrosine and tryptophan biosynthesis"
md:M00126,"Tetrahydrofolate biosynthesis, GTP => THF","(K01495,K09007,K22391) (K01077,K01113,(K08310,K19965)) ((K13939,(K13940,K01633 K00950) K00796),(K01633 K13941)) (K11754,K20457) (K00287,K13998)",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00790  Folate biosynthesis
md:M00026,"Histidine biosynthesis, PRPP => histidine","(K00765-K02502) (K01523 K01496,K11755,K14152) (K01814,K24017) (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)",Pathway modules; Amino acid metabolism; Histidine metabolism,map00340  Histidine metabolism
md:M00098,Acylglycerol degradation,"(K01046,K12298,K16816,K13534,K14073,K14074,K14075,K14076,K22283,K14452,K22284,K14674,K14675,K17900) (K01054,K25824)",Pathway modules; Lipid metabolism; Lipid metabolism,map00561  Glycerolipid metabolism
md:M00975,"Betaine degradation, bacteria, betaine => pyruvate","K00479+K21832 (((K00309,K00315) (K00301,K00302+K00303+K00304+K00305)),K21833+K21834+K25960+K25961) K00600 (K01752,K01754)",Pathway modules; Amino acid metabolism; Serine and threonine metabolism,"map00260  Glycine, serine and threonine metabolism"
md:M00959,"Guanine ribonucleotide degradation, GMP => Urate","(K01081,K19970,K11751,K03787,K02566,K08693,K20881) (K03783,K03784,K09913,K05810) K01487 (K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483)",Pathway modules; Nucleotide metabolism; Purine metabolism,map00230  Purine metabolism
md:M00958,"Adenine ribonucleotide degradation, AMP => Urate","((K01490 (K01081,K19970,K03787,K18550)),((K01081,K19970,K11751,K03787,K02566,K08693) (K01488,K19572,K05810))) (K03783,K03784,K09913,K05810) (K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483)",Pathway modules; Nucleotide metabolism; Purine metabolism,map00230  Purine metabolism
md:M00567,"Methanogenesis, CO2 => methane","(K00200+K00201+K00202+K00203-K11261+(K00205,K11260,K00204)) K00672 K01499 (K00319,K13942) K00320 (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))",Pathway modules; Energy metabolism; Methane metabolism,map00680  Methane metabolism
